,Year,Week,cases,incidence_per_100000
1,1928,1,74,1.38
2,1928,2,96,1.8
3,1928,3,70,1.31
4,1928,4,100,1.87
5,1928,5,127,2.38
6,1928,6,149,2.79
7,1928,7,146,2.73
8,1928,8,151,2.83
9,1928,9,205,3.84
10,1928,10,284,5.31
11,1928,11,187,3.5
12,1928,12,234,4.38
13,1928,13,184,3.44
14,1928,14,125,2.34
15,1928,15,118,2.21
16,1928,16,159,2.98
17,1928,17,111,2.08
18,1928,18,120,2.25
19,1928,19,109,2.04
20,1928,20,120,2.25
21,1928,21,89,1.67
22,1928,22,90,1.68
23,1928,23,71,1.33
24,1928,24,49,0.92
25,1928,25,38,0.71
26,1928,26,38,0.71
27,1928,27,23,0.43
28,1928,28,20,0.37
29,1928,29,22,0.41
30,1928,30,19,0.36
31,1928,31,20,0.37
32,1928,32,11,0.21
33,1928,33,4,0.07
34,1928,34,11,0.21
35,1928,35,19,0.36
36,1928,36,12,0.22
37,1928,37,20,0.37
38,1928,38,13,0.24
39,1928,39,33,0.62
40,1928,40,18,0.33
41,1928,41,11,0.21
42,1928,42,27,0.51
43,1928,43,14,0.26
44,1928,44,15,0.28
45,1928,45,16,0.3
46,1928,46,11,0.21
47,1928,47,20,0.37
48,1928,48,25,0.47
49,1928,49,21,0.39
50,1928,50,14,0.26
51,1928,51,18,0.34
52,1928,52,17,0.32
53,1929,1,22,0.4
54,1929,2,26,0.47
55,1929,3,32,0.58
56,1929,4,29,0.52
57,1929,5,87,1.57
58,1929,6,49,0.89
59,1929,7,58,1.05
60,1929,8,47,0.85
61,1929,9,40,0.72
62,1929,10,58,1.05
63,1929,11,59,1.07
64,1929,12,57,1.03
65,1929,13,61,1.1
66,1929,14,49,0.89
67,1929,15,54,0.98
68,1929,16,109,1.97
69,1929,17,88,1.59
70,1929,18,101,1.83
71,1929,19,121,2.19
72,1929,20,124,2.24
73,1929,21,129,2.33
74,1929,22,133,2.4
75,1929,23,112,2.02
76,1929,24,111,2.01
77,1929,25,152,2.75
78,1929,26,96,1.74
79,1929,27,73,1.32
80,1929,28,76,1.37
81,1929,29,39,0.71
82,1929,30,43,0.78
83,1929,31,34,0.61
84,1929,32,17,0.31
85,1929,33,28,0.51
86,1929,34,23,0.42
87,1929,35,23,0.42
88,1929,36,28,0.51
89,1929,37,25,0.45
90,1929,38,32,0.58
91,1929,39,23,0.42
92,1929,40,43,0.78
93,1929,41,41,0.74
94,1929,42,52,0.94
95,1929,43,40,0.72
96,1929,44,59,1.07
97,1929,45,65,1.18
98,1929,46,72,1.3
99,1929,47,134,2.42
100,1929,48,132,2.39
101,1929,49,184,3.33
102,1929,50,315,5.7
103,1929,51,216,3.91
104,1929,52,203,3.67
105,1930,1,178,3.12
106,1930,2,442,7.74
107,1930,3,490,8.58
108,1930,4,628,11
109,1930,5,864,15.13
110,1930,6,943,16.51
111,1930,7,954,16.7
112,1930,8,1151,20.15
113,1930,9,1433,25.09
114,1930,10,1514,26.51
115,1930,11,1805,31.61
116,1930,12,1901,33.29
117,1930,13,2173,38.05
118,1930,14,2216,38.8
119,1930,15,2524,44.2
120,1930,16,1766,30.92
121,1930,17,2399,42.01
122,1930,18,2053,35.95
123,1930,19,2114,37.02
124,1930,20,2033,35.6
125,1930,21,2221,38.89
126,1930,22,1977,34.62
127,1930,23,1934,33.86
128,1930,24,1470,25.74
129,1930,25,1186,20.77
130,1930,26,924,16.18
131,1930,27,665,11.64
132,1930,28,552,9.67
133,1930,29,326,5.71
134,1930,30,181,3.17
135,1930,31,158,2.77
136,1930,32,84,1.47
137,1930,33,85,1.49
138,1930,34,59,1.03
139,1930,35,44,0.77
140,1930,36,40,0.7
141,1930,37,47,0.82
142,1930,38,41,0.72
143,1930,39,56,0.98
144,1930,40,67,1.17
145,1930,41,62,1.09
146,1930,42,123,2.15
147,1930,43,86,1.51
148,1930,44,131,2.29
149,1930,45,109,1.91
150,1930,46,94,1.65
151,1930,47,117,2.05
152,1930,48,188,3.29
153,1930,49,255,4.47
154,1930,50,221,3.87
155,1930,51,223,3.9
156,1930,52,109,1.91
157,1931,1,272,4.67
158,1931,2,363,6.23
159,1931,3,546,9.38
160,1931,4,509,8.74
161,1931,5,676,11.61
162,1931,6,809,13.89
163,1931,7,996,17.1
164,1931,8,939,16.12
165,1931,9,1205,20.69
166,1931,10,1256,21.57
167,1931,11,1378,23.66
168,1931,12,1796,30.84
169,1931,13,1273,21.86
170,1931,14,1532,26.3
171,1931,15,1461,25.09
172,1931,16,1558,26.75
173,1931,17,1297,22.27
174,1931,18,1309,22.48
175,1931,19,1174,20.16
176,1931,20,1110,19.06
177,1931,21,899,15.44
178,1931,22,935,16.05
179,1931,23,730,12.53
180,1931,24,502,8.62
181,1931,25,393,6.75
182,1931,26,269,4.62
183,1931,27,232,3.98
184,1931,28,159,2.73
185,1931,29,148,2.54
186,1931,30,90,1.55
187,1931,31,60,1.03
188,1931,32,53,0.91
189,1931,33,29,0.5
190,1931,34,49,0.84
191,1931,35,57,0.98
192,1931,36,39,0.67
193,1931,37,73,1.25
194,1931,38,37,0.64
195,1931,39,54,0.93
196,1931,40,71,1.22
197,1931,41,72,1.24
198,1931,42,68,1.17
199,1931,43,108,1.85
200,1931,44,168,2.88
201,1931,45,104,1.79
202,1931,46,181,3.11
203,1931,47,116,1.99
204,1931,48,187,3.21
205,1931,49,146,2.51
206,1931,50,99,1.7
207,1931,51,43,0.74
208,1931,52,177,3.04
209,1932,1,207,3.51
210,1932,2,250,4.24
211,1932,3,252,4.28
212,1932,4,319,5.41
213,1932,5,325,5.51
214,1932,6,358,6.07
215,1932,7,315,5.34
216,1932,8,420,7.13
217,1932,9,403,6.84
218,1932,10,517,8.77
219,1932,11,524,8.89
220,1932,12,431,7.31
221,1932,13,658,11.16
222,1932,14,534,9.06
223,1932,15,627,10.64
224,1932,16,619,10.5
225,1932,17,603,10.23
226,1932,18,696,11.81
227,1932,19,717,12.16
228,1932,20,696,11.81
229,1932,21,550,9.33
230,1932,22,264,4.48
231,1932,23,452,7.67
232,1932,24,424,7.19
233,1932,25,283,4.8
234,1932,26,126,2.14
235,1932,27,103,1.75
236,1932,28,84,1.43
237,1932,29,65,1.1
238,1932,30,54,0.92
239,1932,31,35,0.59
240,1932,32,34,0.58
241,1932,33,24,0.41
242,1932,34,28,0.48
243,1932,35,23,0.39
244,1932,36,25,0.42
245,1932,37,24,0.41
246,1932,38,18,0.31
247,1932,39,25,0.42
248,1932,40,29,0.49
249,1932,41,12,0.2
250,1932,42,21,0.36
251,1932,43,40,0.68
252,1932,44,27,0.46
253,1932,45,40,0.68
254,1932,46,49,0.83
255,1932,47,41,0.7
256,1932,48,47,0.8
257,1932,49,42,0.71
258,1932,50,27,0.46
259,1932,51,48,0.81
260,1932,52,83,1.41
261,1933,1,98,1.64
262,1933,2,108,1.81
263,1933,3,182,3.05
264,1933,4,233,3.91
265,1933,5,312,5.23
266,1933,6,363,6.09
267,1933,7,449,7.53
268,1933,8,719,12.06
269,1933,9,911,15.28
270,1933,10,985,16.52
271,1933,11,1146,19.22
272,1933,12,1378,23.11
273,1933,13,1272,21.33
274,1933,14,1219,20.44
275,1933,15,1220,20.46
276,1933,16,1229,20.61
277,1933,17,1315,22.05
278,1933,18,1329,22.29
279,1933,19,1388,23.28
280,1933,20,1221,20.48
281,1933,21,1255,21.05
282,1933,22,1128,18.92
283,1933,23,1274,21.37
284,1933,24,771,12.93
285,1933,25,558,9.36
286,1933,26,534,8.96
287,1933,27,343,5.75
288,1933,28,347,5.82
