"","Year","Week","cases","incidence_per_100000"
"1",1930,1,178,3.12
"2",1930,2,442,7.74
"3",1930,3,490,8.58
"4",1930,4,628,11
"5",1930,5,864,15.13
"6",1930,6,943,16.51
"7",1930,7,954,16.7
"8",1930,8,1151,20.15
"9",1930,9,1433,25.09
"10",1930,10,1514,26.51
"11",1930,11,1805,31.61
"12",1930,12,1901,33.29
"13",1930,13,2173,38.05
"14",1930,14,2216,38.8
"15",1930,15,2524,44.2
"16",1930,16,1766,30.92
"17",1930,17,2399,42.01
"18",1930,18,2053,35.95
"19",1930,19,2114,37.02
"20",1930,20,2033,35.6
"21",1930,21,2221,38.89
"22",1930,22,1977,34.62
"23",1930,23,1934,33.86
"24",1930,24,1470,25.74
"25",1930,25,1186,20.77
"26",1930,26,924,16.18
"27",1930,27,665,11.64
"28",1930,28,552,9.67
"29",1930,29,326,5.71
"30",1930,30,181,3.17
"31",1930,31,158,2.77
"32",1930,32,84,1.47
"33",1930,33,85,1.49
"34",1930,34,59,1.03
"35",1930,35,44,0.77
"36",1930,36,40,0.7
"37",1930,37,47,0.82
"38",1930,38,41,0.72
"39",1930,39,56,0.98
"40",1930,40,67,1.17
"41",1930,41,62,1.09
"42",1930,42,123,2.15
"43",1930,43,86,1.51
"44",1930,44,131,2.29
"45",1930,45,109,1.91
"46",1930,46,94,1.65
"47",1930,47,117,2.05
"48",1930,48,188,3.29
"49",1930,49,255,4.47
"50",1930,50,221,3.87
"51",1930,51,223,3.9
"52",1930,52,109,1.91
"53",1931,1,272,4.67
"54",1931,2,363,6.23
"55",1931,3,546,9.38
"56",1931,4,509,8.74
"57",1931,5,676,11.61
"58",1931,6,809,13.89
"59",1931,7,996,17.1
"60",1931,8,939,16.12
"61",1931,9,1205,20.69
"62",1931,10,1256,21.57
"63",1931,11,1378,23.66
"64",1931,12,1796,30.84
"65",1931,13,1273,21.86
"66",1931,14,1532,26.3
"67",1931,15,1461,25.09
"68",1931,16,1558,26.75
"69",1931,17,1297,22.27
"70",1931,18,1309,22.48
"71",1931,19,1174,20.16
"72",1931,20,1110,19.06
"73",1931,21,899,15.44
"74",1931,22,935,16.05
"75",1931,23,730,12.53
"76",1931,24,502,8.62
"77",1931,25,393,6.75
"78",1931,26,269,4.62
"79",1931,27,232,3.98
"80",1931,28,159,2.73
"81",1931,29,148,2.54
"82",1931,30,90,1.55
