Unnamed: 0,Year,Week,cases,incidence_per_100000,CCC,epi_stages
0,1930,1,178,3.12,178,Initial
1,1930,2,442,7.74,620,Initial
2,1930,3,490,8.58,1110,Pre-peak
3,1930,4,628,11,1738,Pre-peak
4,1930,5,864,15.13,2602,Pre-peak
5,1930,6,943,16.51,3545,Pre-peak
6,1930,7,954,16.7,4499,Pre-peak
7,1930,8,1151,20.15,5650,Pre-peak
8,1930,9,1433,25.09,7083,Peak
9,1930,10,1514,26.51,8597,Peak
10,1930,11,1805,31.61,10402,Peak
11,1930,12,1901,33.29,12303,Peak
12,1930,13,2173,38.05,14476,Peak
13,1930,14,2216,38.8,16692,Peak
14,1930,15,2524,44.2,19216,Peak
15,1930,16,1766,30.92,20982,Peak
16,1930,17,2399,42.01,23381,Peak
17,1930,18,2053,35.95,25434,Peak
18,1930,19,2114,37.02,27548,Peak
19,1930,20,2033,35.6,29581,Peak
20,1930,21,2221,38.89,31802,Peak
21,1930,22,1977,34.62,33779,Peak
22,1930,23,1934,33.86,35713,Peak
23,1930,24,1470,25.74,37183,Peak
24,1930,25,1186,20.77,38369,Post_peak
25,1930,26,924,16.18,39293,Post_peak
26,1930,27,665,11.64,39958,Post_peak
27,1930,28,552,9.67,40510,Post_peak
28,1930,29,326,5.71,40836,Post_peak
29,1930,30,181,3.17,41017,Receding
30,1930,31,158,2.77,41175,Receding
31,1930,32,84,1.47,41259,Receding
32,1930,33,85,1.49,41344,Receding
33,1930,34,59,1.03,41403,Receding
34,1930,35,44,0.77,41447,Receding
35,1930,36,40,0.7,41487,Receding
36,1930,37,47,0.82,41534,Receding
37,1930,38,41,0.72,41575,Receding
38,1930,39,56,0.98,41631,Receding
39,1930,40,67,1.17,41698,Receding
40,1930,41,62,1.09,41760,Receding
41,1930,42,123,2.15,41883,Receding
42,1930,43,86,1.51,41969,Receding
43,1930,44,131,2.29,42100,Receding
44,1930,45,109,1.91,42209,Receding
45,1930,46,94,1.65,42303,Receding
46,1930,47,117,2.05,42420,Receding
47,1930,48,188,3.29,42608,Receding
48,1930,49,255,4.47,42863,Post_peak
49,1930,50,221,3.87,43084,Receding
50,1930,51,223,3.9,43307,Receding
51,1930,52,109,1.91,43416,Receding
52,1931,1,272,4.67,272,Initial
53,1931,2,363,6.23,635,Initial
54,1931,3,546,9.38,1181,Pre-peak
55,1931,4,509,8.74,1690,Pre-peak
56,1931,5,676,11.61,2366,Pre-peak
57,1931,6,809,13.89,3175,Pre-peak
58,1931,7,996,17.1,4171,Peak
59,1931,8,939,16.12,5110,Peak
60,1931,9,1205,20.69,6315,Peak
61,1931,10,1256,21.57,7571,Peak
62,1931,11,1378,23.66,8949,Peak
63,1931,12,1796,30.84,10745,Peak
64,1931,13,1273,21.86,12018,Peak
65,1931,14,1532,26.3,13550,Peak
66,1931,15,1461,25.09,15011,Peak
67,1931,16,1558,26.75,16569,Peak
68,1931,17,1297,22.27,17866,Peak
69,1931,18,1309,22.48,19175,Peak
70,1931,19,1174,20.16,20349,Peak
71,1931,20,1110,19.06,21459,Peak
72,1931,21,899,15.44,22358,Peak
73,1931,22,935,16.05,23293,Peak
74,1931,23,730,12.53,24023,Post_peak
75,1931,24,502,8.62,24525,Post_peak
76,1931,25,393,6.75,24918,Post_peak
77,1931,26,269,4.62,25187,Post_peak
78,1931,27,232,3.98,25419,Post_peak
79,1931,28,159,2.73,25578,Receding
80,1931,29,148,2.54,25726,Receding
81,1931,30,90,1.55,25816,Receding
82,1931,31,60,1.03,25876,Receding
83,1931,32,53,0.91,25929,Receding
84,1931,33,29,0.5,25958,Receding
85,1931,34,49,0.84,26007,Receding
86,1931,35,57,0.98,26064,Receding
87,1931,36,39,0.67,26103,Receding
88,1931,37,73,1.25,26176,Receding
89,1931,38,37,0.64,26213,Receding
90,1931,39,54,0.93,26267,Receding
91,1931,40,71,1.22,26338,Receding
92,1931,41,72,1.24,26410,Receding
93,1931,42,68,1.17,26478,Receding
94,1931,43,108,1.85,26586,Receding
95,1931,44,168,2.88,26754,Receding
96,1931,45,104,1.79,26858,Receding
97,1931,46,181,3.11,27039,Post_peak
98,1931,47,116,1.99,27155,Receding
99,1931,48,187,3.21,27342,Post_peak
100,1931,49,146,2.51,27488,Receding
101,1931,50,99,1.7,27587,Receding
102,1931,51,43,0.74,27630,Receding
103,1931,52,177,3.04,27807,Receding
104,1933,1,98,1.64,98,Initial
105,1933,2,108,1.81,206,Initial
106,1933,3,182,3.05,388,Initial
107,1933,4,233,3.91,621,Initial
108,1933,5,312,5.23,933,Initial
109,1933,6,363,6.09,1296,Pre-peak
110,1933,7,449,7.53,1745,Pre-peak
111,1933,8,719,12.06,2464,Peak
112,1933,9,911,15.28,3375,Peak
113,1933,10,985,16.52,4360,Peak
114,1933,11,1146,19.22,5506,Peak
115,1933,12,1378,23.11,6884,Peak
116,1933,13,1272,21.33,8156,Peak
117,1933,14,1219,20.44,9375,Peak
118,1933,15,1220,20.46,10595,Peak
